"","Sample1a","Sample2a","Sample3","Sample4","DENC1","DENC2","Sample1b","Sample2b","Sample7","Sample5","Sample6","DENC3","DENC4","tax"
"genus1",10,18,9,11,0,0,12,14,11,10,9,1,0,"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;fragilis"
"Contam17",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Serratia;marcescens"
"Contam18",0,0,0,0,0,0,0,0,0,4,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Paenibacillus;alvei"
"Contam19",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;globiformis"
"Contam20",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;freundii"
"Contam21",0,17,0,0,0,0,0,0,0,0,0,12,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Brevibacillus;laterosporus"
"Contam22",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;rosea"
"Contam23",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Hafnia;alvei"
"Contam24",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;stearothermophilus"
"Contam25",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;roseus"
"Contam26",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Morganella;morganii"
"Contam27",0,0,2,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus"
"Contam28",0,0,0,7,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;aurescens"
"Contam29",0,0,0,0,2,1,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella;ornithinolytica"
"Contam30",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Alicyclobacillus;acidoterrestris"
"Contam31",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;varians"
"Contam32",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Proteus;mirabilis"
"Contam33",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Virgibacillus;pantothenticus"
"Contam34",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;varians"
"Contam35",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Providencia;rettgeri"
"Contam36",0,0,0,0,0,0,0,0,1,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Planococcus;citreus"
"Contam37",0,0,0,0,0,0,0,0,0,0,0,0,33,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;aeria"
"Contam38",0,0,0,0,0,2,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Yersinia;enterocolitica"
"Contam39",0,4,0,0,0,0,0,0,0,0,3,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Sporosarcina;pasteurii"
"Contam40",12,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;oxydans"
"Contam41",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;sakazakii"
"Contam42",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;halophilus"
"Contam43",0,0,0,0,0,0,0,24,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;sedimentorum"
"Contam44",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Edwardsiella;tarda"
"Contam45",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;iheyensis"
"Contam46",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;agilis"
"Contam47",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia;adecarboxylata"
"Contam48",0,0,0,0,0,0,9,0,0,0,0,12,0,"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Salinibacillus;maritimus"
"Contam49",0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;terrae"
"Contam50",0,0,8,0,0,0,0,0,0,0,0,0,0,"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Obesumbacterium;proteus"
